2023-08-07T16:53:36.347442 : Item purchased: Gum, Amount: 2, Change given: 1.75
2023-08-07T17:05:01.605793 : Item purchased: Gum, Amount: 1.75, Change given: 1.50
2023-08-07T17:12:19.999046 : Item purchased: Gum, Amount: 1.75, Change given: 1.50
2023-08-07T17:12:58.118905 : Item purchased: Coke, Amount: 0.25, Change given: -1.25
2023-08-07T17:13:09.639748 : Item purchased: Gum, Amount: 0.00, Change given: -0.25
2023-08-07T17:13:25.568815 : Item purchased: Coffee, Amount: 0.00, Change given: -1.10
2023-08-07T22:29:22.900049 : Item purchased: Water, Amount: 1.00, Change given: 0.00
2023-08-07T22:31:37.614700 : Item purchased: Water, Amount: 2.00, Change given: 1.00
2023-08-08T11:27:00.837819 : Item purchased: 010, Amount: 1.75, Change given: 1.50
2023-08-08T11:27:25.481472 : Item purchased: 006, Amount: 0.55, Change given: -0.65
2023-08-08T11:42:02.025061 : Item purchased: 010, Amount: 1.75, Change given: 1.50
2023-08-08T11:49:47.388558 : Item purchased: 001, Amount: 0.50, Change given: -1.00
2023-08-08T13:01:28.324287 : Item purchased: 010, Amount: 1.75, Change given: 1.50
2023-08-08T13:13:35.663602 : Item purchased: 010, Amount: 1.75, Change given: 1.50
2023-08-08T13:38:22.849208 : Item purchased: 010, Amount: 1.75, Change given: 1.75
2023-08-08T14:12:07.090537 : Item purchased: 007, Amount: 0.90, Change given: 0.90
2023-08-08T14:15:20.432456 : Item purchased: 010, Amount: 1.75, Change given: 1.75
2023-08-08T14:25:52.514834 : Item purchased: 005, Amount: 1.10, Change given: 1.10
2023-08-08T14:26:01.944774 : Item purchased: 010, Amount: 1.75, Change given: 1.75
2023-08-08T14:31:57.600160 : Item purchased: 010, Amount: 1.75, Change given: 1.75
2023-08-08T14:47:07.223775 : Item purchased: 010, Amount: 2, Change given: 1.75
2023-08-08T14:47:24.352038 : Item purchased: 010, Amount: 2, Change given: 1.75
2023-08-08T14:59:29.225128 : Item purchased: 010, Amount: 2, Change given: 1.75
2023-08-08T15:02:43.494091 : Item purchased: 010, Amount: 0.25, Change given: 0.00
2023-08-08T15:25:51.921639 : Item purchased: 006, Amount: 2, Change given: 0.80
2023-08-08T15:45:17.596215 : Item purchased: 010, Amount: 3, Change given: 2.75
2023-08-08T15:46:16.379375 : Item purchased: 010, Amount: 2, Change given: 1.75
2023-08-08T15:54:51.666018 : Item purchased: 010, Amount: 2, Change given: 1.75
2023-08-08T15:55:53.544114 : Item purchased: 010, Amount: 2, Change given: 1.75
2023-08-08T16:12:16.473397 : Item purchased: 008, Amount: 2, Change given: 1.05
2023-08-08T16:15:41.822772 : Item purchased: 010, Amount: 2, Change given: 1.75
